"","V1","V2","V3","lat","lon"
"4710","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4711","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4712","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4713","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4714","Dell","Test Engineer Virginia\DC","Mechanicsville, VA",37.628179,-77.281955
"4715","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"4716","Orbital ATK","Manufacturing Process Engineer Job","Radford, VA",37.119732,-80.556541
"4717","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4718","ALEX-Alternative Experts LLC","Systems Engineer with Security Clearance","Dahlgren, VA",38.326218,-77.039825
"4719","Alltech International","Integration Engineer","Herndon, VA",38.983887,-77.367457
"4720","National Industries for the Blind","Specialist, Engineering Support","Alexandria, VA  ",38.80484,-77.04692
"4721","Prism Inc.","NetScaler Engineer","Arlington, VA",37.283482,-77.294978
"4722","HNTB Corporation","Resident Engineer","Richmond, VA",37.626617,-77.492834
"4723","Zachary Piper, LLC","Information Assurance Engineer","Arlington, VA",37.283482,-77.294978
"4724","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4725","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4726","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4727","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4728","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4729","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4730","Northrop Grumman","College Intern Technical","Lorton, VA ",38.692865,-77.204031
"4731","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4732","A&A Fence","Project Assistant/Job Coordinator","Manassas, VA",38.744685,-77.487162
"4733","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4734","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4735","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4736","Storage Strategies, Inc.","2016-002 Data Analytics Engineer I","Sterling, VA",39.085309,-77.645224
"4737","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4738","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4739","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4740","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4741","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4742","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4743","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4744","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"4745","ABB","Mechanical Designer","South Boston, VA",36.679767,-78.952947
"4746","Barrister Global Services Network, Inc.","USPS-Engineer II, Public Trust or Secret Clearance|Tier II","Alexandria, VA",38.80484,-77.04692
"4747","Northrop Grumman","Project Manager 1","Chantilly, VA",38.88668,-77.44566
"4748","Amazon Corporate LLC","Systems Engineer","Herndon, VA",38.983887,-77.367457
"4749","ENSCO, Inc.","Field Service Engineer","Springfield, VA ",38.704562,-78.446119
"4750","Alltech International","Integration Engineer","Herndon, VA",38.983887,-77.367457
"4751","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4752","Dewberry","Interns: Civil Engineer (Water Resources/Environmental)","Fairfax, VA ",38.83469,-77.27622
"4753","Apertus Partners","Telecommunications Engineer","Reston, VA",38.96146,-77.3418
"4754","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4755","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4756","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4757","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4758","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4759","Lockheed Martin","Senior Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"4760","Zachary Piper, LLC","Information Assurance Engineer","Arlington, VA",37.283482,-77.294978
"4761","National Industries for the Blind","Specialist, Engineering Support","Alexandria, VA  ",38.80484,-77.04692
"4762","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4763","Delta Airport Consultants, Inc.","Electrical Engineer","Richmond, VA ",37.586772,-77.574165
"4764","Busch LLC","Applications Engineer","Virginia Beach, VA  ",36.844004,-76.12036
"4765","HunterLab, Inc.","Electronics Engineer","Reston, VA",38.96146,-77.3418
"4766","NJVC, LLC","Microsoft Engineer Specialist","Dulles, VA",39.002125,-77.442066
"4767","RGS","Environmental Compliance Engineer","Arlington, VA",37.283482,-77.294978
"4768","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"4769","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4770","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4771","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4772","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4773","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4774","BAE Systems","Control Systems Intern","Radford, VA ",37.119732,-80.556541
"4775","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4776","Northrop Grumman","College Intern Technical","Lorton, VA ",38.692865,-77.204031
"4777","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4778","A&A Fence","Project Assistant/Job Coordinator","Manassas, VA",38.744685,-77.487162
"4779","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4780","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4781","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4782","Storage Strategies, Inc.","2016-002 Data Analytics Engineer I","Sterling, VA",39.085309,-77.645224
"4783","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4784","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4785","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4786","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4787","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4788","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4789","Salient CRGT","Document Control Specialist 1/2 (Declassification/All Source...","Arlington, VA",37.283482,-77.294978
"4790","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4791","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4792","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4793","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4794","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4795","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"4796","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4797","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4798","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4799","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4800","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4801","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4802","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4803","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4804","Raytheon","SOC, CSIOC, CIRT Junior Analyst","Herndon, VA ",38.983887,-77.367457
"4805","Navy Federal Credit Union","Branch Facility Property Manager II","Merrifield, VA ",38.873861,-77.234454
"4806","Luna Innovations Incorporated","Student - Biomaterials Intern","Charlottesville, VA ",38.087663,-78.556765
"4807","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4808","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4809","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4810","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4811","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4812","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4813","Engility Corporation","Data Transport Systems Engineer","Reston, VA ",38.96146,-77.3418
"4814","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4815","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4816","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4817","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4818","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4819","Luna Innovations Incorporated","Student - Biomaterials Intern","Charlottesville, VA ",38.087663,-78.556765
"4820","Salient CRGT","Document Control Specialist 1/2 (Declassification/All Source...","Arlington, VA",37.283482,-77.294978
"4821","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4822","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4823","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4824","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4825","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"4826","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4827","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4828","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4829","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4830","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4831","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4832","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4833","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4834","Luna Innovations Incorporated","Student - Biomaterials Intern","Charlottesville, VA ",38.087663,-78.556765
"4835","Salient CRGT","Document Control Specialist 1/2 (Declassification/All Source...","Arlington, VA",37.283482,-77.294978
"4836","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4837","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4838","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4839","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4840","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"4841","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4842","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4843","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4844","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4845","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4846","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4847","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4848","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4849","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4850","Northrop Grumman","College Intern Technical","Lorton, VA ",38.692865,-77.204031
"4851","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4852","A&A Fence","Project Assistant/Job Coordinator","Manassas, VA",38.744685,-77.487162
"4853","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4854","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4855","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4856","Storage Strategies, Inc.","2016-002 Data Analytics Engineer I","Sterling, VA",39.085309,-77.645224
"4857","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4858","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4859","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4860","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4861","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4862","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4863","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4864","Salient CRGT","Document Control Specialist 1/2 (Declassification/All Source...","Arlington, VA",37.283482,-77.294978
"4865","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4866","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4867","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4868","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4869","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4870","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"4871","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4872","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4873","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4874","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4875","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4876","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4877","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4878","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4879","City of Norfolk, VA","Chief Operating Engineer","Norfolk, VA",36.895911,-76.208521
"4880","ZQedge, Inc.","NOC Techician /Engineer","Reston, VA",38.96146,-77.3418
"4881","Amazon","HVAC Technician (Engineer II)","Sterling, VA",39.085309,-77.645224
"4882","Applied Defense Solutions, Inc.","Junior Aerospace Engineer","Chantilly, VA",38.88668,-77.44566
"4883","ASET Partners","Senior ESB Engineer","Alexandria, VA  ",38.80484,-77.04692
"4884","Northrop Grumman","Agile Process Engineer","Fairfax, VA ",38.83469,-77.27622
"4885","Dept of Transportation","Assistant Resident Engineer â?? Land Use (Lebanon Residency)","Russell, VA",37.082611,-81.997072
"4886","L-3 Communications","ENGINEERING TECH V (TAHS) (Contingent)","Norfolk, VA",36.895911,-76.208521
"4887","Alion Science and Technology","F-35 Systems Engineer (Flight Sciences Test Support)","Crystal City, VA",36.856513,-78.91449
"4888","3Pillar Global","Quality Assurance Engineer","Fairfax, VA",38.83469,-77.27622
"4889","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4890","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4891","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4892","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4893","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4894","Lockheed Martin","Senior Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"4895","Zachary Piper, LLC","Information Assurance Engineer","Arlington, VA",37.283482,-77.294978
"4896","National Industries for the Blind","Specialist, Engineering Support","Alexandria, VA  ",38.80484,-77.04692
"4897","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4898","Delta Airport Consultants, Inc.","Electrical Engineer","Richmond, VA ",37.586772,-77.574165
"4899","Busch LLC","Applications Engineer","Virginia Beach, VA  ",36.844004,-76.12036
"4900","HunterLab, Inc.","Electronics Engineer","Reston, VA",38.96146,-77.3418
"4901","NJVC, LLC","Microsoft Engineer Specialist","Dulles, VA",39.002125,-77.442066
"4902","RGS","Environmental Compliance Engineer","Arlington, VA",37.283482,-77.294978
"4903","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"4904","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4905","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4906","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4907","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4908","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4909","Lockheed Martin","Senior Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"4910","Zachary Piper, LLC","Information Assurance Engineer","Arlington, VA",37.283482,-77.294978
"4911","National Industries for the Blind","Specialist, Engineering Support","Alexandria, VA  ",38.80484,-77.04692
"4912","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4913","Delta Airport Consultants, Inc.","Electrical Engineer","Richmond, VA ",37.586772,-77.574165
"4914","Busch LLC","Applications Engineer","Virginia Beach, VA  ",36.844004,-76.12036
"4915","HunterLab, Inc.","Electronics Engineer","Reston, VA",38.96146,-77.3418
"4916","NJVC, LLC","Microsoft Engineer Specialist","Dulles, VA",39.002125,-77.442066
"4917","RGS","Environmental Compliance Engineer","Arlington, VA",37.283482,-77.294978
"4918","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"4919","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4920","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4921","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4922","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4923","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4924","Raytheon","SOC, CSIOC, CIRT Junior Analyst","Herndon, VA ",38.983887,-77.367457
"4925","Navy Federal Credit Union","Branch Facility Property Manager II","Merrifield, VA ",38.873861,-77.234454
"4926","Luna Innovations Incorporated","Student - Biomaterials Intern","Charlottesville, VA ",38.087663,-78.556765
"4927","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4928","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4929","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4930","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4931","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4932","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4933","Engility Corporation","Data Transport Systems Engineer","Reston, VA ",38.96146,-77.3418
"4934","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4935","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4936","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4937","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4938","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4939","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4940","A&A Fence","Project Assistant/Job Coordinator","Manassas, VA",38.744685,-77.487162
"4941","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4942","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4943","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"4944","Storage Strategies, Inc.","2016-002 Data Analytics Engineer I","Sterling, VA",39.085309,-77.645224
"4945","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4946","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4947","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4948","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4949","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4950","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4951","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4952","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4953","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4954","Raytheon","SOC, CSIOC, CIRT Junior Analyst","Herndon, VA ",38.983887,-77.367457
"4955","Navy Federal Credit Union","Branch Facility Property Manager II","Merrifield, VA ",38.873861,-77.234454
"4956","Luna Innovations Incorporated","Student - Biomaterials Intern","Charlottesville, VA ",38.087663,-78.556765
"4957","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4958","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"4959","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"4960","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4961","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4962","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"4963","Engility Corporation","Data Transport Systems Engineer","Reston, VA ",38.96146,-77.3418
"4964","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4965","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4966","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4967","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4968","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4969","Sotera Defense Solutions, Inc.","Test Engineer- Journeyman","Herndon, VA ",38.983887,-77.367457
"4970","Sotera Defense Solutions, Inc.","Test Engineer - Expert","Herndon, VA ",38.983887,-77.367457
"4971","Alion Science and Technology","F-35 Systems Engineer (Flight Sciences Test Support)","Crystal City, VA",36.856513,-78.91449
"4972","Dept of Transportation","Assistant Resident Engineer â?? Land Use (Lebanon Residency)","Russell, VA",37.082611,-81.997072
"4973","George Mason University","Term Instructor, Assistant, Associate Professor - Mechanical...","Fairfax County, VA",38.740054,-77.189796
"4974","CMAC","Project Manager - Concrete Construction","Reston, VA",38.96146,-77.3418
"4975","Mitre Corporation","Computer Science Summer Intern","Quantico, VA",38.52602,-77.322803
"4976","Compuvision Consulting Inc.","Bigdata / Hadoop Engineer","McLean, VA",38.935202,-77.18672
"4977","ASET Partners","Senior ESB Engineer","Alexandria, VA  ",38.80484,-77.04692
"4978","BAE Systems","Systems Engineer","Dulles, VA",39.002125,-77.442066
"4979","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4980","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4981","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4982","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4983","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4984","BAE Systems","Control Systems Intern","Radford, VA ",37.119732,-80.556541
"4985","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"4986","Northrop Grumman","College Intern Technical","Lorton, VA ",38.692865,-77.204031
"4987","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"4988","A&A Fence","Project Assistant/Job Coordinator","Manassas, VA",38.744685,-77.487162
"4989","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"4990","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"4991","BCMC","Principal Data Mining and Analytics Engineer (Top Secret Req...","Falls Church, VA",38.862044,-77.154372
"4992","Storage Strategies, Inc.","2016-002 Data Analytics Engineer I","Sterling, VA",39.085309,-77.645224
"4993","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"4994","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"4995","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4996","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"4997","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"4998","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"4999","Salient CRGT","Document Control Specialist 1/2 (Declassification/All Source...","Arlington, VA",37.283482,-77.294978
"5000","Brown and Caldwell","Intern I","Virginia Beach, VA  ",36.844004,-76.12036
"5001","Salient CRGT","Security Specialist 2 + Security Analyst Assistant","Virginia",NA,NA
"5002","Amec Foster Wheeler","Facility Operations and Maintenance Manager","Chantilly, VA",38.88668,-77.44566
"5003","College of William and Mary","Associate Director, Operations & Maintenance","Williamsburg, VA",37.310451,-76.746769
"5004","Harris Corporation","Intern/Co-op D","Herndon, VA",38.983887,-77.367457
"5005","SAIC","Geographic Information Systems (GIS) Analyst Intern Job","Chantilly, VA ",38.88668,-77.44566
"5006","Concilio Labs","Data Engineer","McLean, VA",38.935202,-77.18672
"5007","CSC","Big Data Technical Architect/Sales Engineer- 75% travel","Virginia",NA,NA
"5008","GS5","Biometrics Data Analyst_SW Systems Engineer_Intermediate","Charlottesville, VA",38.087663,-78.556765
"5009","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"5010","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"5011","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"5012","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"5013","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"5014","Clarabridge","Systems Engineer","Reston, VA",38.96146,-77.3418
"5015","ABB","Mechanical Designer","South Boston, VA",36.679767,-78.952947
